query_id,query,category,expected_keywords
1,What is the return policy?,policy,"return,30 days,receipt"
2,How do I reset my password?,how-to,"reset,email,link,account"
3,What's the difference between plan A and plan B?,comparison,"price,features,storage,users"
4,Can I use the product offline?,technical,"offline,sync,internet,download"
5,How do I contact support?,contact,"email,phone,chat,hours"
6,Is there a free trial available?,pricing,"trial,free,14 days,credit card"
7,How do I cancel my subscription?,policy,"cancel,billing,refund,account"
8,What file formats are supported?,technical,"PDF,CSV,Excel,import"
9,How many users can share one account?,pricing,"users,seats,team,plan"
10,Where is my data stored?,technical,"server,cloud,region,encrypted"
11,Can I return an item without a receipt?,policy,"return,receipt,exchange,policy"
12,How long does it take to process a refund?,policy,"refund,processing,time,business days"
13,I forgot my password, what should I do?,how-to,"reset,password,email,link"
14,How can I change my account email?,how-to,"update,email,account,settings"
15,Which plan is best for small teams?,comparison,"plan,team,users,features"
16,Do plans include cloud storage?,comparison,"storage,cloud,plan,features"
17,Does the app work without internet?,technical,"offline,mode,sync,internet"
18,Will my data sync automatically?,technical,"sync,automatic,cloud,update"
19,What are your support hours?,contact,"support,hours,availability,timezone"
20,Is live chat support available?,contact,"chat,live,support,agent"
21,Do I need a credit card for the free trial?,pricing,"trial,credit card,free,signup"
22,What happens after the trial ends?,pricing,"trial,upgrade,billing,subscription"
23,Can I pause my subscription instead of canceling?,policy,"pause,subscription,billing,account"
24,Will I get a refund if I cancel early?,policy,"refund,cancel,policy,billing"
25,Can I upload Excel files to the platform?,technical,"Excel,upload,import,files"
26,Are CSV files supported for import?,technical,"CSV,import,data,upload"
27,Can multiple users log in at the same time?,pricing,"users,concurrent,access,team"
28,Is there a limit on team members?,pricing,"team,users,limit,plan"
29,Is my data encrypted at rest?,technical,"encryption,data,security,storage"
30,Which region are your servers located in?,technical,"server,region,data center,location"
31,How do I update my billing information?,how-to,"billing,update,payment,account"
32,Can I switch plans later?,pricing,"upgrade,downgrade,plan,subscription"
33,Do you offer discounts for annual plans?,pricing,"discount,annual,billing,price"
34,How secure is my account?,technical,"security,encryption,authentication,protection"
35,Can I contact support via phone?,contact,"phone,support,contact,number"
36,Is there an onboarding guide for new users?,how-to,"onboarding,guide,setup,tutorial"
37,How do I delete my account permanently?,policy,"delete,account,remove,data"
38,Do you provide API access?,technical,"API,access,integration,developer"
39,Can I export my data?,technical,"export,data,download,files"
40,Is there a mobile app available?,technical,"mobile,app,iOS,Android"